;UAI;Position;IPS voie GT
693;0210032W;47.260, 5.292;111.9
694;0211909L;47.303, 5.128;117.0
695;0211986V;47.317, 4.992;111.1
696;0220065B;48.786, -3.235;118.0
697;0220110A;48.510, -2.769;132.1
698;0240021T;45.533, 0.666;104.4
699;0240026Y;45.189, 0.714;114.9
700;0250030X;47.515, 6.804;104.6
701;0250058C;47.470, 6.827;97.7
702;0251024C;46.902, 6.359;110.9
703;0290008B;48.396, -4.525;122.5
704;0290009C;48.401, -4.464;125.8
705;0290013G;48.406, -4.480;105.8
706;0290023T;48.194, -4.089;109.9
707;0290030A;47.863, -3.901;115.5
708;0290076A;47.884, -3.553;113.4
709;0290098Z;47.991, -4.123;111.6
710;0290156M;48.197, -4.085;111.5
711;0290159R;48.452, -4.258;119.8
712;0290177K;48.681, -3.988;115.5
713;0330023W;44.845, -0.590;134.0
714;0330089T;44.906, -0.241;107.4
715;0331493U;44.825, -0.581;141.5
716;0331636Z;44.548, -0.256;117.4
717;0332832Z;44.868, -0.527;109.5
718;0332846P;44.761, -0.622;135.5
719;0350005R;48.625, -2.058;121.5
720;0350022J;47.655, -2.093;111.1
721;0350048M;48.628, -2.004;117.6
722;0350769W;48.357, -1.204;115.3
723;0350791V;47.655, -2.081;115.3
724;0360043B;46.797, 1.713;96.6
725;0370035M;47.391, 0.690;132.9
726;0370037P;47.435, 0.684;111.7
727;0370038R;47.360, 0.700;118.2
728;0370039S;47.396, 0.695;119.0
729;0382170C;45.174, 5.763;125.1
730;0390070P;46.671, 5.549;112.2
731;0390786T;46.380, 5.872;94.0
732;0410959V;47.575, 1.302;112.3
733;0420018S;45.610, 4.055;116.5
734;0420034J;46.042, 4.070;111.2
735;0420044V;45.476, 4.368;112.0
736;0420046X;45.438, 4.396;102.1
737;0420974F;46.036, 4.063;116.3
738;0420979L;45.448, 4.381;113.8
739;0421021G;45.431, 4.398;126.8
740;0422158T;45.439, 4.402;113.6
741;0422284E;45.632, 4.391;117.6
742;0430003V;45.289, 3.382;108.5
743;0430020N;45.037, 3.893;110.9
744;0430055B;45.054, 3.913;114.8
745;0430098Y;45.045, 3.887;111.0
746;0440012Z;47.287, -2.375;130.1
747;0440021J;47.219, -1.544;136.3
748;0440154D;47.237, -1.533;137.7
749;0440166S;47.228, -1.520;133.0
750;0440246D;47.207, -1.609;105.6
751;0440256P;47.191, -1.517;126.3
752;0442095N;47.197, -1.451;132.0
753;0442227G;47.203, -1.546;113.0
754;0442273G;47.104, -1.303;122.0
755;0442699V;47.219, -1.573;139.6
756;0450029M;47.701, 2.632;101.8
757;0450062Y;48.181, 2.255;100.3
758;0450758E;47.899, 1.917;122.4
759;0450782F;47.837, 1.940;108.0
760;0470009E;44.301, 0.337;99.4
761;0470020S;44.505, 0.156;107.6
762;0490003M;47.454, -0.557;109.6
763;0490018D;47.045, -0.884;95.5
764;0490828J;47.198, -0.996;114.1
765;0491966W;47.471, -0.591;121.1
766;0492089E;47.490, -0.527;111.2
767;0510053F;48.726, 3.717;98.0
768;0511951U;48.955, 4.341;98.6
769;0530010Y;48.066, -0.776;111.5
770;0530046M;47.831, -0.709;111.6
771;0540044E;48.697, 6.218;110.5
772;0540066D;48.678, 5.893;112.2
773;0541319R;48.691, 6.188;125.1
774;0541320S;48.673, 5.892;110.8
775;0541986R;48.665, 6.196;135.2
776;0550008K;48.755, 5.586;102.3
777;0550025D;49.156, 5.390;106.6
778;0550047C;48.772, 5.161;120.4
779;0560181T;47.751, -3.392;119.7
780;0561607T;47.808, -3.263;113.9
781;0570021N;48.808, 6.725;102.8
782;0570029X;49.183, 6.908;87.9
783;0570087K;49.105, 6.693;106.7
784;0570210U;49.074, 6.217;113.0
785;0570313F;49.357, 6.160;122.2
786;0580032V;47.005, 3.159;106.1
787;0590035T;50.176, 3.228;106.9
788;0590073J;51.032, 2.376;113.1
789;0590116F;50.632, 3.058;116.7
790;0590168M;50.247, 3.646;118.6
791;0590258K;50.614, 3.076;86.0
792;0592967E;50.360, 3.529;108.8
793;0593138R;50.184, 3.504;121.1
794;0600013N;49.384, 2.406;111.0
795;0600020W;49.266, 2.462;101.4
796;0601950U;49.429, 2.088;106.4
797;0620063G;50.947, 1.843;102.4
798;0620113L;50.411, 2.771;96.0
799;0622107D;50.730, 1.618;126.8
800;0631068U;45.780, 3.093;124.3
801;0631075B;45.784, 3.082;130.2
802;0631669X;45.777, 3.051;127.8
803;0640001D;43.476, -1.511;120.1
804;0640047D;43.185, -0.623;115.2
805;0640052J;43.491, -0.767;114.2
806;0640127R;43.490, -0.772;116.0
807;0641844G;43.166, -1.231;110.5
808;0670081Z;48.584, 7.757;130.8
809;0671609K;48.582, 7.756;135.8
810;0671832C;48.252, 7.449;111.2
811;0672534R;48.731, 7.352;118.4
812;0672614C;48.937, 7.088;103.2
813;0673083M;48.563, 7.761;119.1
814;0680010S;48.083, 7.343;106.6
815;0680031P;47.745, 7.325;97.1
816;0680034T;47.732, 7.306;98.2
817;0680149T;48.080, 7.359;121.8
818;0681793E;47.751, 7.347;97.3
819;0682072H;47.903, 7.254;119.3
820;0690097F;45.989, 4.712;101.1
821;0690104N;45.716, 4.883;87.5
822;0690128P;45.753, 4.792;114.8
823;0690519P;45.760, 4.789;134.6
824;0690520R;45.756, 4.806;134.9
825;0690539L;45.733, 4.813;129.7
826;0690564N;45.772, 4.822;142.3
827;0690631L;45.751, 4.814;131.1
828;0692517L;45.820, 4.910;92.8
829;0692717D;45.695, 4.881;78.8
830;0693446W;45.728, 4.822;135.0
831;0693504J;45.818, 4.762;123.6
832;0693786R;45.769, 4.804;130.5
833;0700009E;47.445, 5.588;106.0
834;0701052N;47.630, 6.141;109.7
835;0710012C;46.789, 4.836;115.1
836;0720833P;47.701, -0.080;112.4
837;0721094Y;47.982, 0.228;104.2
838;0721493G;47.993, 0.197;109.5
839;0721684P;48.000, 0.213;119.4
840;0750657G;48.844, 2.335;135.5
841;0750662M;48.852, 2.315;145.2
842;0750670W;48.878, 2.349;127.7
843;0750676C;48.854, 2.392;112.3
844;0750683K;48.827, 2.362;126.4
845;0750685M;48.837, 2.356;118.3
846;0750693W;48.843, 2.312;130.8
847;0750711R;48.881, 2.378;95.4
848;0750712S;48.882, 2.396;109.1
849;0752937K;48.877, 2.290;162.3
850;0753647G;48.841, 2.334;147.6
851;0753809H;48.857, 2.320;146.8
852;0753850C;48.854, 2.327;142.8
853;0753933T;48.860, 2.285;147.7
854;0753948J;48.867, 2.294;139.1
855;0754239A;48.888, 2.334;115.1
856;0754479L;48.870, 2.378;117.7
857;0754684J;48.884, 2.390;154.0
858;0755709Y;48.872, 2.388;138.4
859;0770920G;48.403, 2.798;117.2
860;0770922J;48.883, 2.613;107.7
861;0770942F;48.561, 3.292;101.3
862;0771200L;48.406, 2.703;128.8
863;0771246L;48.965, 2.884;126.7
864;0771336J;48.551, 3.302;101.8
865;0771512A;48.868, 2.719;116.5
866;0772223Y;48.845, 2.586;111.1
867;0772225A;48.759, 2.691;103.0
868;0772229E;48.955, 2.895;104.8
869;0772275E;48.842, 2.705;133.9
870;0772840U;48.263, 2.686;120.5
871;0781578S;48.785, 2.050;126.4
872;0781859X;48.954, 1.855;120.0
873;0781898P;48.947, 2.062;125.2
874;0781951X;48.965, 1.683;111.0
875;0782539L;48.996, 1.693;99.5
876;0782546U;48.923, 2.027;117.7
877;0783286Y;48.896, 2.100;146.4
878;0783297K;48.887, 2.146;144.4
879;0783350T;48.818, 2.137;147.3
880;0783549J;48.896, 2.063;152.1
881;0783657B;48.897, 2.086;147.2
882;0790019S;46.224, -0.144;112.5
883;0790080H;46.837, -0.489;110.2
884;0800010B;49.889, 2.303;119.5
885;0801209E;49.889, 2.308;124.3
886;0801888T;49.884, 2.295;120.5
887;0830025B;43.118, 6.126;106.3
888;0830032J;43.493, 6.357;107.2
889;0830923C;43.115, 5.856;119.0
890;0831207L;43.123, 5.942;121.0
891;0831243A;43.126, 5.926;97.2
892;0840001V;43.876, 5.401;105.6
893;0840021S;43.921, 5.047;118.1
894;0840026X;44.143, 4.802;105.0
895;0840072X;43.945, 4.811;119.3
896;0840075A;44.125, 4.805;119.7
897;0840918S;43.707, 5.505;121.1
898;0850016F;46.454, -1.161;102.3
899;0850032Y;46.505, -1.777;113.8
900;0850086G;46.959, -0.891;121.1
901;0851344Z;46.468, -0.814;111.8
902;0851390Z;46.972, -1.304;115.8
903;0851400K;46.861, -1.024;102.1
904;0851696G;46.686, -1.910;118.8
905;0860005N;46.802, 0.543;102.3
906;0870056N;45.828, 1.249;123.1
907;0870118F;45.839, 1.279;107.3
908;0880036L;48.299, 6.131;110.8
909;0880097C;48.020, 6.587;107.0
910;0880152M;48.300, 6.947;108.4
911;0880153N;48.022, 6.583;108.7
912;0881664F;48.073, 6.876;108.7
913;0890819G;47.799, 3.563;100.4
914;0891199V;47.982, 3.414;102.4
915;0900003P;47.652, 6.856;111.7
916;0910625K;48.705, 2.454;111.8
917;0910626L;48.696, 2.187;152.8
918;0910815S;48.436, 2.158;127.5
919;0910838S;48.711, 2.500;144.4
920;0910843X;48.695, 2.490;137.4
921;0911492C;48.677, 2.166;114.7
922;0911577V;48.687, 2.297;117.8
923;0911578W;48.639, 2.411;91.0
924;0911962N;48.563, 2.441;117.0
925;0912142J;48.686, 2.347;102.7
926;0912384X;48.605, 2.303;133.1
927;0920134W;48.833, 2.238;125.7
928;0920136Y;48.909, 2.307;94.1
929;0920137Z;48.928, 2.241;96.2
930;0920798T;48.802, 2.240;137.0
931;0920906K;48.782, 2.316;144.2
932;0920921B;48.888, 2.265;148.7
933;0921156G;48.921, 2.303;94.4
934;0921594H;48.941, 2.327;92.0
935;0922276Z;48.841, 2.199;104.8
936;0930136T;48.914, 2.492;88.0
937;0930974D;48.886, 2.513;137.3
938;0931797Y;48.933, 2.355;112.6
939;0931812P;48.893, 2.518;125.9
940;0931813R;48.907, 2.512;129.3
941;0932031C;48.862, 2.491;95.2
942;0932034F;48.944, 2.468;82.9
943;0932074Z;48.918, 2.338;85.5
944;0932117W;48.894, 2.408;84.4
945;0932120Z;48.918, 2.516;93.5
946;0932126F;48.949, 2.417;92.2
947;0932221J;48.882, 2.511;93.3
948;0932267J;48.882, 2.429;91.7
949;0932577W;48.935, 2.420;84.9
950;0932653D;48.891, 2.414;107.3
951;0932783V;48.953, 2.368;80.2
952;0940112L;48.817, 2.496;100.2
953;0940115P;48.801, 2.394;92.6
954;0940126B;48.787, 2.424;99.1
955;0940580V;48.789, 2.325;107.4
956;0940822H;48.850, 2.432;138.3
957;0940880W;48.836, 2.470;144.9
958;0940881X;48.839, 2.472;142.3
959;0940891H;48.769, 2.515;134.6
960;0941474S;48.802, 2.351;94.9
961;0941877E;48.822, 2.405;140.0
962;0941952L;48.731, 2.458;85.3
963;0942376X;48.753, 2.396;117.4
964;0950646L;48.985, 2.430;88.6
965;0950759J;49.002, 2.282;139.9
966;0950762M;49.041, 2.094;137.8
967;0950786N;48.992, 2.374;114.0
968;0951048Y;48.981, 2.375;116.4
969;0951399E;49.035, 2.085;105.0
970;0951723G;49.000, 2.146;120.7
971;0951753P;49.088, 2.560;111.3
972;0951766D;48.967, 2.410;78.0
973;0952284S;48.960, 2.187;121.8
974;6200001G;41.918, 8.734;113.8
975;6200043C;41.621, 8.975;105.0
976;6200063Z;41.600, 9.270;102.9
977;7200123W;42.632, 8.944;103.8
978;9710054G;16.236, -61.532;127.0
979;9710774P;16.325, -61.452;101.3
980;9720004X;14.602, -61.084;94.8
981;9720063L;14.616, -61.082;135.2
982;9720694X;14.626, -61.017;101.4
983;9720695Y;14.630, -61.015;113.2
984;9720825P;14.571, -60.970;112.9
985;9730308X;5.154, -52.641;79.1
986;9730328U;4.934, -52.324;102.2
987;9730371R;5.484, -54.018;75.9
988;9740019C;-21.342, 55.490;92.1
989;9740054R;-20.891, 55.467;86.3
990;9740979W;-20.949, 55.292;78.2
991;9741046U;-20.895, 55.450;102.4
992;9741182S;-21.272, 55.437;95.6
993;9741185V;-20.900, 55.546;92.8
994;9741186W;-21.103, 55.302;84.3
995;9741206T;-21.298, 55.457;91.9
996;9741256X;-20.884, 55.449;133.6
997;9741324W;-20.976, 55.652;88.6
998;0140014P;49.163, -0.353;114.6
999;0141796B;49.204, -0.346;114.0
1000;0142120D;48.853, -0.571;106.6
1001;0211091X;47.320, 5.046;119.7
1002;0270016W;49.017, 1.156;105.2
1003;0271282X;49.095, 0.605;108.3
1004;0271580W;49.167, 1.346;104.3
1005;0271582Y;49.268, 1.203;101.0
1006;0460026D;44.858, 1.892;115.9
1007;0500002F;48.678, -1.359;108.4
1008;0500036T;48.830, -1.582;115.4
1009;0500082T;49.508, -1.476;107.3
1010;0593109J;50.643, 3.062;136.8
1011;0595616J;51.011, 2.302;92.0
1012;0610694Y;48.747, -0.015;119.9
1013;0622106C;50.524, 2.647;129.4
1014;0622114L;50.436, 2.822;121.1
1015;0622199D;50.750, 2.261;111.6
1016;0710112L;46.453, 4.121;118.5
1017;0731040J;45.686, 5.920;124.9
1018;0760005T;49.557, 0.953;112.5
1019;0760058A;49.516, 0.166;87.9
1020;0760072R;49.522, 0.547;104.8
1021;0760095R;49.433, 1.086;105.1
1022;0760174B;49.501, 0.110;91.3
1023;0761708U;49.290, 1.015;121.9
1024;0761710W;49.500, 0.106;138.6
1025;0761718E;49.475, 1.126;132.9
1026;0761721H;49.622, 0.760;124.3
1027;0763002A;49.920, 1.058;93.5
1028;0763409T;49.449, 1.098;135.5
1029;0860755D;46.602, 0.340;130.8
1030;0890067P;48.206, 3.291;119.6
1031;0912364A;48.534, 1.990;120.8
1032;0420043U;45.417, 4.410;105.6
1033;0421788R;45.753, 4.227;112.4
1034;0590072H;51.018, 2.355;89.7
1035;0590119J;50.615, 3.078;115.1
1036;0590122M;50.648, 3.072;92.2
1037;0593007Y;50.640, 3.089;132.7
1038;0593040J;50.480, 3.244;128.2
1039;0593078A;50.720, 2.534;108.4
1040;0593102B;51.034, 2.383;123.2
1041;9760182U;-12.847, 45.113;89.7
1042;9760338N;-12.865, 45.199;68.3
1043;0110019L;43.051, 2.219;105.3
1044;0160062F;45.650, 0.149;131.8
1045;0300021K;43.835, 4.357;115.0
1046;0301862L;43.777, 4.068;122.8
1047;0331498Z;44.833, -0.571;123.7
1048;0340023R;43.626, 3.432;113.1
1049;0340039H;43.603, 3.873;110.6
1050;0340059E;43.458, 3.416;112.7
1051;0340871M;43.346, 3.220;128.3
1052;0341521U;43.679, 3.872;133.2
1053;0341736C;43.629, 3.831;100.8
1054;0342298N;43.630, 3.441;121.6
1055;0342436N;43.647, 3.542;118.4
1056;0640181Z;43.381, -1.305;114.0
1057;0660010C;42.695, 2.886;107.9
1058;0660856X;42.702, 3.028;111.6
1059;0660924W;42.565, 3.007;108.9
1060;0660931D;42.621, 3.012;128.4
1061;0754025T;48.846, 2.323;138.5
1062;0020031Y;49.930, 4.079;98.5
1063;0071126L;45.242, 4.678;116.9
1064;0090002D;42.962, 1.605;116.3
1065;0110004V;43.222, 2.346;109.3
1066;0110007Y;43.214, 2.371;104.5
1067;0120012Y;44.092, 3.055;111.9
1068;0121438Y;44.349, 2.578;121.0
1069;0130002G;43.534, 5.459;124.3
1070;0220018A;48.558, -3.147;108.3
1071;0260017C;44.363, 5.140;110.3
1072;0260023J;45.050, 5.040;108.7
1073;0260034W;44.928, 4.887;116.3
1074;0260072M;44.726, 5.023;121.9
1075;0260074P;44.932, 4.909;120.6
1076;0290007A;48.406, -4.479;121.7
1077;0290168A;47.864, -4.218;119.1
1078;0310024H;43.454, 1.331;115.6
1079;0310036W;43.603, 1.440;137.2
1080;0310038Y;43.559, 1.460;131.6
1081;0310039Z;43.587, 1.443;118.0
1082;0310044E;43.589, 1.426;102.7
1083;0311131L;43.105, 0.722;117.0
1084;0311133N;43.600, 1.461;143.4
1085;0311147D;43.607, 1.443;130.6
1086;0311586F;43.627, 1.442;109.8
1087;0312267W;43.592, 1.419;115.7
1088;0312686B;43.653, 1.376;125.1
1089;0312696M;43.835, 1.401;125.3
1090;0312746S;43.577, 1.313;136.0
1091;0312754A;43.529, 1.208;127.8
1092;0313016K;43.741, 1.370;122.5
1093;0320023B;43.517, 0.404;112.5
1094;0330028B;44.829, -0.564;123.6
1095;0332722E;44.809, -0.651;128.0
1096;0350808N;48.125, -1.209;113.6
1097;0352072M;48.651, -2.026;129.5
1098;0380018N;45.174, 5.726;113.6
1099;0380049X;44.903, 5.784;118.6
1100;0380089R;45.068, 5.770;122.3
1101;0380097Z;45.063, 5.555;136.4
1102;0381666E;45.189, 5.735;135.3
1103;0381670J;45.372, 4.801;106.8
1104;0383069E;45.673, 5.477;108.3
1105;0383550C;45.724, 5.215;117.5
1106;0440176C;47.243, -1.605;131.6
1107;0460013P;44.734, 1.377;108.0
1108;0460493L;44.464, 1.455;117.5
1109;0492430A;47.192, -0.993;103.3
1110;0590018Z;50.121, 3.924;101.2
1111;0590034S;50.173, 3.243;101.8
1112;0590044C;50.126, 3.402;84.3
1113;0590086Y;50.543, 2.981;125.5
1114;0590101P;50.731, 2.529;114.6
1115;0590207E;50.349, 3.283;100.2
1116;0593061G;50.170, 3.230;120.1
1117;0593071T;50.372, 3.082;103.0
1118;0593104D;50.009, 4.050;103.0
1119;0594424N;50.626, 3.132;104.9
1120;0620040G;50.530, 2.643;117.7
1121;0620042J;50.521, 2.654;101.4
1122;0620056Z;50.480, 2.544;95.1
1123;0620059C;50.438, 2.712;92.4
1124;0622807P;50.518, 1.596;121.0
1125;0623902E;50.518, 2.663;96.4
1126;0624141P;50.952, 1.880;99.4
1127;0650012K;43.127, 0.387;114.7
1128;0730013T;45.567, 5.919;132.3
1129;0730043A;45.751, 6.416;112.2
1130;0740013M;46.079, 6.411;104.7
1131;0740051D;46.400, 6.579;118.3
1132;0740054G;45.907, 6.129;91.7
1133;0740082M;45.892, 6.124;136.4
1134;0741669M;45.926, 6.872;126.8
1135;0810005R;43.922, 2.158;120.5
1136;0810018E;43.603, 2.234;97.9
1137;0810068J;43.923, 2.143;121.8
1138;0810079W;43.484, 2.374;109.8
1139;0820020B;44.013, 1.361;117.9
1140;0820021C;44.014, 1.369;106.2
1141;0820044C;44.000, 1.361;124.0
1142;0820899G;44.114, 0.897;106.7
1143;0850027T;46.658, -1.433;113.0
1144;0910676R;48.711, 2.393;100.5
1145;0912251C;48.704, 2.237;118.8
1146;0920147K;48.877, 2.223;114.8
1147;0133406G;43.191, 5.614;129.6
1148;0330109P;44.581, -0.040;108.6
1149;9710722H;16.239, -61.537;97.7
1150;9710940V;16.334, -61.713;99.3
1151;0010006B;46.112, 5.818;99.2
1152;0010010F;45.762, 5.690;108.7
1153;0010034G;46.256, 5.661;86.9
1154;0010070W;46.199, 5.223;130.0
1155;0010075B;45.825, 4.951;128.9
1156;0011457D;46.259, 5.656;114.0
1157;0021872Z;49.563, 3.622;111.8
1158;0022108F;49.376, 3.336;118.3
1159;0030084A;46.563, 3.330;107.1
1160;0040490L;44.074, 6.182;117.3
1161;0060013G;43.556, 7.019;95.0
1162;0060020P;43.651, 6.922;114.1
1163;0060033D;43.700, 7.249;105.7
1164;0060075Z;43.676, 7.222;116.4
1165;0060670W;43.552, 7.031;126.9
1166;0060673Z;43.553, 7.010;133.2
1167;0060674A;43.659, 6.921;137.6
1168;0060735S;43.555, 7.000;112.1
1169;0060774J;43.702, 7.283;115.5
1170;0061691F;43.685, 7.199;100.2
1171;0080027L;49.761, 4.713;88.9
1172;0080053P;49.397, 4.697;106.8
1173;0080081V;49.700, 4.930;113.9
1174;0100015M;48.514, 3.718;98.9
1175;0100022V;48.270, 4.077;104.3
1176;0100023W;48.305, 4.063;97.9
1177;0100046W;48.296, 4.074;122.9
1178;0130011S;43.672, 4.629;105.9
1179;0130042A;43.292, 5.378;98.4
1180;0130143K;43.422, 5.059;106.3
1181;0130160D;43.638, 5.098;115.3
1182;0130164H;43.801, 4.664;98.2
1183;0131342N;43.298, 5.393;115.3
1184;0131862D;43.528, 5.453;136.9
1185;0132280H;43.391, 4.805;97.4
1186;0132828D;43.302, 5.457;121.3
1187;0133195C;43.587, 5.009;96.0
1188;0133288D;43.425, 5.272;105.9
1189;0133314G;43.396, 5.235;129.0
1190;0133396W;43.286, 5.379;107.7
1191;0133424B;43.451, 5.241;114.9
1192;0133446A;43.315, 5.441;107.0
1193;0133555U;43.287, 5.382;124.5
1194;0150646W;44.928, 2.439;124.0
1195;0150747F;45.213, 2.341;111.0
1196;0170020E;45.579, -0.551;104.9
1197;0170022G;45.951, -0.970;112.8
1198;0170027M;46.156, -1.138;117.7
1199;0170058W;45.737, -0.643;116.2
1200;0180007K;47.073, 2.410;111.9
1201;0180024D;46.734, 2.515;105.8
1202;0190018S;45.406, 2.057;111.1
1203;0190032G;45.268, 1.768;116.1
1204;0210013A;47.864, 4.579;107.8
1205;0210018F;47.318, 5.051;112.1
1206;0210019G;47.313, 5.037;99.3
1207;0220023F;48.732, -3.450;127.9
1208;0250010A;47.265, 6.042;108.9
1209;0250043L;46.915, 6.350;107.9
1210;0251671F;47.062, 6.607;103.8
1211;0280015P;48.073, 1.334;106.7
1212;0280665W;48.450, 1.494;133.1
1213;0280667Y;48.738, 1.375;130.1
1214;0290069T;47.994, -4.113;123.9
1215;0290170C;48.001, -4.102;124.4
1216;0290186V;47.995, -4.114;110.2
1217;0290194D;48.090, -4.327;110.7
1218;0290340M;48.389, -4.469;119.0
1219;0330018R;44.912, -0.620;111.4
1220;0330022V;44.850, -0.582;124.6
1221;0330026Z;44.827, -0.585;137.1
1222;0330088S;44.917, -0.241;108.6
1223;0331502D;44.854, -0.597;137.5
1224;0332747G;44.859, -0.578;91.2
1225;0332831Y;44.906, -0.714;132.7
1226;0333307R;45.195, -0.750;115.2
1227;0333406Y;44.987, -0.438;122.4
1228;0350030T;48.135, -1.682;124.7
1229;0350053T;48.119, -1.214;110.7
1230;0350793X;48.130, -1.598;126.6
1231;0350801F;48.160, -1.675;134.9
1232;0351930H;48.198, -2.045;112.9
1233;0352318E;47.849, -1.693;114.6
1234;0352341E;48.025, -1.746;131.8
1235;0352950S;48.205, -1.502;124.3
1236;0370009J;47.163, 0.235;112.3
1237;0370727P;47.401, 0.684;131.3
1238;0370881G;47.403, 0.716;131.2
1239;0390033Z;46.835, 5.709;111.6
1240;0390042J;46.949, 5.881;119.6
1241;0391092A;46.744, 5.925;111.5
1242;0391146J;47.094, 5.490;113.3
1243;0400027M;43.549, -1.091;105.4
1244;0410001D;47.597, 1.330;110.8
1245;0420041S;45.437, 4.393;109.8
1246;0420973E;45.610, 4.065;115.9
1247;0421976V;45.530, 4.270;119.8
1248;0430058E;45.292, 4.185;115.8
1249;0430065M;45.142, 4.122;103.3
1250;0440077V;47.365, -1.940;116.3
1251;0441982R;47.233, -1.521;125.4
1252;0441993C;47.231, -1.593;96.9
1253;0442112G;47.331, -2.421;113.9
1254;0442725Y;47.222, -1.559;128.6
1255;0442899M;47.435, -1.508;122.0
1256;0450040Z;48.011, 2.757;101.2
1257;0450064A;47.912, 1.948;115.6
1258;0451304Y;47.865, 1.879;114.1
1259;0451442Y;48.004, 2.716;92.1
1260;0490040C;47.255, -0.076;108.8
1261;0490054T;47.070, -0.890;114.3
1262;0490837U;47.156, -0.638;107.6
1263;0490904S;47.064, -0.868;115.4
1264;0492148U;47.441, -0.529;114.0
1265;0492224B;47.218, -0.728;118.7
1266;0511130B;49.259, 4.036;132.0
1267;0511565Z;49.229, 4.006;105.0
1268;0511926S;49.243, 4.027;121.4
1269;0520685M;48.078, 5.146;112.1
1270;0521032P;48.073, 5.147;110.6
1271;0530049R;48.063, -0.767;119.4
1272;0530052U;48.296, -0.616;108.8
1273;0530949U;48.152, -0.399;106.1
1274;0540038Y;48.691, 6.179;124.9
1275;0540042C;48.690, 6.192;120.1
1276;0540058V;48.906, 6.057;114.4
1277;0541270M;48.909, 6.057;113.2
1278;0541312H;48.587, 6.497;111.5
1279;0542208G;48.663, 6.152;116.0
1280;0542408Z;48.690, 6.188;119.7
1281;0550072E;49.486, 5.198;98.1
1282;0560027A;47.745, -3.380;95.5
1283;0560051B;47.648, -2.770;120.6
1284;0560096A;48.139, -3.609;100.8
1285;0561698S;47.765, -3.344;115.7
1286;0570023R;49.305, 6.112;88.4
1287;0570081D;48.768, 7.261;107.6
1288;0570094T;48.739, 7.060;107.7
1289;0570107G;49.358, 6.162;114.1
1290;0572590F;49.244, 6.173;95.6
1291;0572757M;49.109, 6.168;114.2
1292;0573227Y;49.124, 6.163;106.7
1293;0580008U;47.457, 3.531;106.1
1294;0596925G;50.523, 3.219;130.6
1295;0600002B;49.415, 2.109;103.7
1296;0601700X;49.416, 2.829;124.0
1297;0601824G;49.436, 2.082;108.0
1298;0601826J;49.192, 2.571;119.2
1299;0620093P;50.411, 2.960;96.6
1300;0620256S;50.280, 2.795;103.9
1301;0630021F;45.763, 3.131;115.3
1302;0631034G;45.893, 3.108;126.9
1303;0631847R;45.779, 3.092;142.7
1304;0640010N;43.481, -1.480;122.7
1305;0640046C;43.181, -0.255;122.7
1306;0640057P;43.300, -0.360;120.2
1307;0640131V;43.314, -0.375;130.4
1308;0641779L;43.228, -0.874;108.3
1309;0641839B;43.333, -0.436;121.8
1310;0670057Y;48.741, 7.361;110.5
1311;0670079X;48.582, 7.752;129.9
1312;0670082A;48.575, 7.738;101.8
1313;0671509B;48.801, 7.767;111.3
1314;0671610L;48.588, 7.743;130.9
1315;0680001G;47.612, 7.233;112.2
1316;0680007N;48.073, 7.356;123.0
1317;0680016Y;47.906, 7.214;116.7
1318;0680032R;47.749, 7.342;99.6
1319;0680037W;47.748, 7.320;71.8
1320;0680151V;47.744, 7.337;126.9
1321;0681882B;48.070, 7.351;87.5
1322;0690042W;45.745, 4.860;92.3
1323;0690521S;45.766, 4.827;138.1
1324;0690522T;45.764, 4.826;144.0
1325;0690542P;45.723, 4.810;119.6
1326;0690543R;45.711, 4.810;135.0
1327;0690571W;45.755, 4.829;139.0
1328;0690646C;45.766, 4.850;119.6
1329;0690671E;45.772, 4.830;131.6
1330;0693267B;45.891, 4.439;118.4
1331;0694026B;45.876, 4.847;130.3
1332;0694069Y;45.824, 4.598;131.4
1333;0694086S;45.771, 4.976;107.1
1334;0701035V;47.574, 6.762;113.0
1335;0701078S;47.825, 6.378;101.0
1336;0710026T;46.804, 4.406;106.1
1337;0710071S;46.574, 4.907;116.7
1338;0720012X;47.699, 0.413;104.6
1339;0720033V;47.996, 0.203;109.4
1340;0720822C;48.022, 0.178;116.0
1341;0720837U;48.003, 0.200;125.0
1342;0750428H;48.848, 2.342;87.9
1343;0750651A;48.861, 2.364;122.3
1344;0750653C;48.855, 2.358;134.3
1345;0750663N;48.882, 2.320;130.9
1346;0750667T;48.875, 2.327;132.4
1347;0750669V;48.884, 2.329;127.2
1348;0750688R;48.899, 2.346;98.9
1349;0750698B;48.842, 2.255;126.5
1350;0750708M;48.881, 2.304;120.1
1351;0750715V;48.848, 2.408;120.3
1352;0753217P;48.851, 2.272;114.6
1353;0753827C;48.841, 2.356;135.0
1354;0753834K;48.818, 2.362;136.6
1355;0753840S;48.846, 2.328;147.8
1356;0753851D;48.859, 2.306;145.8
1357;0753852E;48.847, 2.315;146.5
1358;0753873C;48.879, 2.316;149.1
1359;0753874D;48.848, 2.291;161.0
1360;0753916Z;48.843, 2.286;140.5
1361;0754016H;48.881, 2.375;131.5
1362;0754030Y;48.850, 2.320;135.0
1363;0754475G;48.838, 2.302;99.8
1364;0754530S;48.866, 2.394;88.4
1365;0755352K;48.877, 2.373;127.4
1366;0770918E;48.410, 2.736;113.9
1367;0770927P;48.409, 2.696;138.6
1368;0770931U;48.955, 2.867;110.9
1369;0770934X;48.551, 2.660;86.0
